State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Delaware,2010,720.227331438905,540.966143300449,987.567785764129,956.254416750405
Delaware,2011,680.382474320885,545.29782697455,989.60017913567,983.758068386145
Delaware,2012,677.803437003269,652.578130587142,965.880853086713,953.216443130836
Delaware,2013,653.50444225074,574.894793372423,1020.61814507336,948.064222572707
Delaware,2014,704.211671458544,628.206016913905,1040.04858442918,954.454167889767
Delaware,2015,691.209043000076,639.724321465736,1093.04209820385,986.209826835197
Delaware,2016,771.866410632931,602.232544075527,1126.16761747145,1008.64056293009
District of Columbia,1999,1534.62545314356,1188.92339544513,617.315133818968,655.607733121913
District of Columbia,2000,1475.61712438412,1203.59005432728,614.287426585161,631.144556378201
District of Columbia,2001,1528.21489615329,1173.39058041207,600.288992115752,611.419063278427
District of Columbia,2002,1549.39081059748,1175.21932841586,556.391267453522,544.685660833301
District of Columbia,2003,1474.44764773565,1148.08464436788,545.489591364688,527.519587327851
District of Columbia,2004,1424.10787699392,1142.01842070802,561.446695701572,527.563269363101
District of Columbia,2005,1461.62399689187,1193.04832734402,529.554491526206,475.919410979741
District of Columbia,2006,1404.66775639765,1149.60000450382,558.830146231721,504.816640790274
District of Columbia,2007,1350.1017199926,1146.40608529672,520.874231121581,489.340617902149
District of Columbia,2008,1391.84519695923,1147.43338783594,491.774038747378,418.922019323097
District of Columbia,2009,1338.0213586063,1058.24076853798,440.19293907827,385.199302280509
District of Columbia,2010,1204.83596227617,1068.12316326118,402.003737378496,413.506850170084
District of Columbia,2011,1160.18781393317,1065.97046064745,377.260018639329,340.577117987241
District of Columbia,2012,1175.18188948692,1043.04020015553,358.296833488906,365.107771477033
District of Columbia,2013,1180.96051455184,1030.30303030303,371.80415529438,350.481210702294
District of Columbia,2014,1187.45653829597,1018.86980003645,349.533841540125,360.61235542941
District of Columbia,2015,1258.16853391714,1005.86066113526,372.896650565317,336.449592403952
District of Columbia,2016,1321.99443578461,1061.34334648837,361.883344319078,298.899506362936
Florida,1999,765.648094043241,652.400939011266,1162.44935190598,1081.35024944083
Florida,2000,746.48545553296,646.804271640619,1164.84035237879,1069.85368743372
Florida,2001,730.095734515378,656.118640382664,1155.71976467561,1068.88776407762
Florida,2002,722.049369977306,639.185432702214,1137.89846110283,1053.26082592422
Florida,2003,707.664415007164,624.064278406491,1131.06346377021,1035.57585707278
Florida,2004,701.954074257507,600.237937140328,1105.36337281609,1018.52254551573
Florida,2005,694.113845345982,594.551074150703,1099.87985193784,996.670095744109
Florida,2006,676.517265605101,590.131193650555,1081.26046540933,972.773674367848
Florida,2007,673.072507455546,563.42405908628,1059.15992106641,951.984398559371
Florida,2008,660.584624119277,553.370258020681,1072.72303841078,961.734944714884
Florida,2009,646.147566294568,552.51509797524,1065.68997107956,948.074028836477
Florida,2010,631.362882460208,552.186922842167,1083.56118456092,966.781323484239
Florida,2011,619.567597414343,540.421353678052,1071.64435484673,956.913003986771
Florida,2012,633.967674369113,541.733373217438,1073.58017771849,967.335671799564
Florida,2013,637.244646398653,555.004774907774,1082.73622696119,974.622752466633
Florida,2014,634.941006921559,559.341845744399,1106.48798657953,977.671564327065
