State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
Arizona,1983,12.2374372116932,0.186358415500014,8.10225925279688,0.113838295275538,,,,,307.784993607284,141.249320188039,398.826147369001,177.805178809455
Arizona,1984,10.8723108934045,0.167712579269124,7.61712799118757,0.108481238018468,,,,,315.492326882863,144.670792912402,411.422567011195,183.308481911437
Arizona,1985,10.4054619899757,0.161957144504343,7.1459196798628,0.102909976258627,,,,,315.736819539201,144.616225437766,403.713120159266,179.753659249358
Arizona,1986,11.1301842452694,0.17514222109959,7.05816561895136,0.102258284524752,,,,,316.410928815383,144.616666904615,400.867611435314,178.30332078115
Arizona,1987,10.8865387512879,0.172977531907135,7.54800020089293,0.110675280138715,,,,,323.373747068255,147.445081480412,406.285626198064,180.431188748775
Arizona,1988,11.8244639976114,0.189611825500339,8.66374808416874,0.128172580116776,,,,,322.590567915742,146.743572121854,403.245265064127,178.757147384267
Arizona,1989,12.0387034674496,0.19493302092566,8.92572064863543,0.133326691847018,,,,,326.75300189341,148.208284249615,395.10088130472,174.836618110014
Arizona,1990,11.2533783977097,0.18288994782612,8.0653753165183,0.120914403728938,,,,,330.189925964759,149.573240470983,399.072590830159,176.231002588607
Arizona,1991,11.6112817324455,0.193671606874973,8.5501256393462,0.132317157375665,,,,,329.206226391493,148.61200582995,395.654425033079,174.495886569114
Arizona,1992,12.3041640405445,0.207313432581503,8.32190347970438,0.130486578464027,,,,,329.914971078833,148.677938306616,405.297121310633,178.722012194688
Arizona,1993,11.2126037534683,0.189923661387583,8.38486377178221,0.132453505387116,,,,,349.041469913338,157.005974181105,412.948393499444,182.092499235602
Arizona,1994,12.7833043923716,0.220339535486237,8.33386695193289,0.134264682434604,,,,,345.855478505215,155.242872980028,404.074837183549,178.398668478593
Arizona,1995,12.1113950635578,0.211864140487808,8.43512430869758,0.13741146642221,,,,,343.855361525143,153.976492094492,397.059795333211,175.413947099215
Arizona,1996,10.675751077216,0.189979129230151,8.86740956821816,0.146321190313159,,,,,345.502164454063,154.393931382844,396.418960918254,175.17358850322
Arizona,1997,10.9704780217021,0.197089284588982,8.58650875929379,0.142610497413162,,,,,345.253601586838,153.967058259037,382.342256129438,169.173191772377
Arizona,1998,10.7035047326682,0.194679473237436,8.67741110258378,0.145295690308313,,,,,344.865694551036,153.697632441184,384.364287541571,170.165552858092
Arizona,1999,11.1667946900199,0.206063961356319,8.61893422598686,0.145677815864775,48.4690642962541,6.15024052880167,34.1373491860681,4.06511737955754,349.39527129041,155.452643019463,392.410321780843,173.824760298463
Arizona,2000,11.0122885445692,0.205642570577392,8.82932161184041,0.150560110040694,47.9278186391072,6.25663101669715,36.1748805995051,4.41272128330394,350.794989779037,155.883388938662,383.169169022452,169.852606918015
Arizona,2001,10.9415476733851,0.210644644130002,9.1590425064905,0.160962602543639,50.0997728822938,6.69434118383339,36.2758764283982,4.55572926740072,343.682166434024,152.388887546589,378.118649232755,167.139855475415
Arizona,2002,10.6555379610489,0.210729173411038,7.31989129498143,0.132198097742787,52.6290918423981,7.15337562085354,36.5994564749071,4.70002035683984,352.244287936727,155.873721728951,388.584305226495,171.264975864824
Arizona,2003,11.5600348724694,0.233956713025249,9.43676316119951,0.175488224490149,52.6643974880788,7.25439993970478,39.4347814409357,5.16603019495724,348.470627348756,153.95756004492,382.007431813942,167.766303805077
Arizona,2004,10.8803263177933,0.227800655748055,9.02270962938955,0.173373052999619,52.2432579129163,7.28063870990474,38.6384271187976,5.14926880176708,339.21849889003,149.48438387697,371.98331895597,162.875390960527
