State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Idaho,1985,780.437044745057,388.198757763975,794.209330148493,651.563608691628
Idaho,1986,516.262261228704,771.010023130301,829.537181487259,676.828045571159
Idaho,1987,461.775269368907,307.929176289453,819.378779031438,691.157548583699
Idaho,1988,603.318250377074,596.569724086503,863.532162958431,718.892938080573
Idaho,1992,468.483816013629,636.574074074074,799.164282704846,690.351524701581
Idaho,1996,521.512385919166,,782.573107226215,685.631649481717
Idaho,1997,319.693094629156,,782.728670266537,699.926014532021
Idaho,1998,296.55990510083,,760.535714579484,719.744530238168
Illinois,1980,1001.24696495826,674.304258804714,1000.880148914,855.0494078843
Illinois,1981,970.289868864315,676.787470909279,987.42324448561,851.142779757493
Illinois,1982,985.437563410627,661.56906391869,964.866325026168,852.862650512556
Illinois,1983,997.015924366232,700.444341597894,979.424650668418,875.07343478344
Illinois,1984,961.260543763481,664.236200484614,960.04110569297,875.823651829884
Illinois,1985,990.186510586777,704.191728467578,962.274381643392,893.449782380408
Illinois,1986,1035.63210270281,744.186666637039,971.950160456707,896.159523351117
Illinois,1987,1030.62067300863,733.068346638027,948.131974579672,900.982514985453
Illinois,1988,1100.04968856812,786.009408244203,969.474182093185,919.347413062163
Illinois,1989,1101.39823072865,783.823896137566,946.230553215572,900.239628992656
Illinois,1990,1110.68909049021,782.09472426007,937.822462080742,899.165354621947
Illinois,1991,1116.64599257694,786.120491066715,931.152401443442,904.234558312469
Illinois,1992,1092.84091688847,747.427704512323,904.164377390942,878.900729990391
Illinois,1993,1132.1969544541,799.388163803721,933.515511608151,918.21530178447
Illinois,1994,1086.76004632054,784.788878420466,927.193747928167,920.526024123405
Illinois,1995,1080.73459110232,802.412425947009,925.052262751308,926.512036456896
Illinois,1996,1030.50401200755,772.221741692934,886.91988944267,915.923185190563
Illinois,1997,959.107915714007,737.81191471651,859.146746005909,887.08651126254
Illinois,1998,958.382975777465,746.731629058421,860.861160084428,902.200667949104
Indiana,1980,996.308840529742,707.696946714852,939.939253936706,799.325405171765
Indiana,1981,946.128988073194,663.725897170384,949.308503399554,802.440030875883
Indiana,1982,982.265359012145,648.479427549195,922.706518316364,804.738888574198
Indiana,1983,958.419194907474,673.494581866398,950.127666584301,828.919670955337
Indiana,1984,963.339168668322,698.360924587953,940.664689755497,821.662070762661
Indiana,1985,983.146781019932,742.167273784327,950.285628920684,835.800679868007
Indiana,1986,1020.96905537459,732.465831901138,975.396067920435,857.373772608109
Indiana,1987,1005.29475485184,717.178915841986,953.645606650367,857.456537082171
Indiana,1988,1027.48458773118,760.490133219349,962.040069157387,880.27446538173
Indiana,1989,1010.54980425843,799.954363547005,925.75944198388,865.608649148672
Indiana,1990,985.881088475255,749.354903170314,940.558415649981,869.739404989208
Indiana,1991,1018.35129068997,828.10283763239,918.952645971306,877.993102134567
Indiana,1992,1007.60465105476,778.539884589979,914.52535677019,861.212371980925
Indiana,1993,993.968265468773,795.860710127582,938.491881821229,905.343758231758
Indiana,1994,1001.08775436207,780.950708721747,922.463935264267,908.727454589637
Indiana,1995,985.496467088137,802.368337582087,923.609819422588,919.399823112903
Indiana,1996,934.710354400397,810.565433827546,906.450347322865,909.572395120622
Indiana,1997,905.061641029461,721.054877979687,902.021985480942,916.571251210832
Indiana,1998,932.752593457754,803.063952216582,897.637094590875,909.442233415531
Iowa,1980,964.08773198361,653.343581860108,1027.60652203362,850.843485133404
Iowa,1981,791.01333957407,640.396391342963,1004.89846353531,868.922192029481
Iowa,1982,779.148501994249,561.250521823832,1022.25615212937,864.723322266729
Iowa,1983,822.383533952035,615.582506431459,1041.30850135658,902.889648745371
