State,Year,Gender.Code,Race,Group_Population,Group_Deaths,State_Population,State_Deaths,population_proportion,deaths_proportion,black_male_mortality,black_male_mortality_weighted,black_male_mortality_weighted_2,black_female_mortality,black_female_mortality_weighted,black_female_mortality_weighted2,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_male_mortality_weighted2,hispanic_female_mortality,hispanic_female_mortality_weighted,hispanic_female_mortality_weighted2,white_male_mortality,white_male_mortality_weighted,white_male_mortlaity_weighted2,white_female_mortality,white_female_mortality_weighted,white_female_mortality_weighted2
South Carolina,1996,F,White,1325190,11661,3797265,34053,0.348985388167536,0.342436789710158,,,,,,,,,,,,,,,,307.08944463976,879.949290290449,105.158723576315
South Carolina,1997,F,White,1346622,11466,3860744,33690,0.348798573539193,0.340338379341051,,,,,,,,,,,,,,,,296.989388573809,851.463885188271,101.0768871887
South Carolina,1998,F,White,1367804,12160,3920791,34827,0.348859197034476,0.349154391707583,,,,,,,,,,,,,,,,310.141499508645,889.016262563935,108.287266604219
South Dakota,1980,F,White,325836,2697,692365,6556,0.470613043698049,0.411378889566809,,,,,,,,,,,,,,,,389.534421872856,827.717011011674,160.246237918104
South Dakota,1981,F,White,325112,2669,690361,6451,0.470930426255249,0.413734304758952,,,,,,,,,,,,,,,,386.609324686649,820.947857968946,159.953540162559
South Dakota,1982,F,White,326027,2818,691342,6595,0.471585698539941,0.427293404094011,,,,,,,,,,,,,,,,407.613019316055,864.345591009334,174.170354576595
South Dakota,1983,F,White,326884,2839,693218,6628,0.471545747513769,0.42833433916717,,,,,,,,,,,,,,,,409.539279130086,868.503811749734,175.419736489184
South Dakota,1984,F,White,328608,2758,697364,6533,0.471214459019967,0.42216439614266,,,,,,,,,,,,,,,,395.489299705749,839.297886843899,166.961501391161
South Dakota,1985,F,White,328639,2864,698330,6603,0.470607019603912,0.433742238376496,,,,,,,,,,,,,,,,410.121289361763,871.472953605628,177.886926053626
South Dakota,1986,F,White,327258,2835,695608,6579,0.470463249416338,0.430916552667579,,,,,,,,,,,,,,,,407.557129877747,866.288983004235,175.623113422011
South Dakota,1987,F,White,326716,2959,695832,6672,0.469532875751618,0.443495203836931,,,,,,,,,,,,,,,,425.246323825291,905.67955043524,188.594705065803
South Dakota,1988,F,White,326919,2929,697830,6579,0.468479429087314,0.445204438364493,,,,,,,,,,,,,,,,419.72973360274,895.940584670821,186.865540313486
South Dakota,1989,F,White,325274,2882,696513,6549,0.467003487372095,0.440067185829898,,,,,,,,,,,,,,,,413.775478706069,886.022245860413,182.089010479598
South Dakota,1990,F,White,324642,2798,695805,6326,0.466570375320672,0.442301612393298,,,,,,,,,,,,,,,,402.124158348963,861.87246258956,177.860163620044
South Dakota,1991,F,White,327825,2932,704009,6644,0.46565455839343,0.441300421432872,,,,,,,,,,,,,,,,416.471948512022,894.379623274613,183.789246393325
South Dakota,1992,F,White,330997,3062,713096,6697,0.46416891975274,0.457219650589816,,,,,,,,,,,,,,,,429.395200646196,925.083913147249,196.327923604398
South Dakota,1993,F,White,334910,3013,722507,6782,0.463538761562172,0.44426422884105,,,,,,,,,,,,,,,,417.020181119352,899.644680660476,185.267149176144
South Dakota,1994,F,White,338573,3055,731147,6743,0.463071037698301,0.4530624351179,,,,,,,,,,,,,,,,417.836632031589,902.316487138667,189.306081989694
