State,Year,black_male_mortality,black_female_mortality,hispanic_male_mortality,hispanic_female_mortality,white_male_mortality,white_female_mrtality
California,1984,31.8060713663795,24.6813877415491,,,351.964780262432,322.148520212098
California,1985,32.0403048687673,25.1958282896374,,,353.066265103906,323.906454239483
California,1986,33.4663096730526,25.0463246507548,,,345.694529425969,316.766024454347
California,1987,33.8787245130858,26.3988194827312,,,344.341487771074,318.406120617313
California,1988,33.3759330544308,27.0546539751455,,,342.522921995136,320.356396798041
California,1989,33.7743480499963,26.6605470918952,,,334.372528295357,312.058735362032
California,1990,32.8702312770258,25.7061635320993,,,327.522269791215,300.113089687088
California,1991,33.1072546124045,25.0403958042493,,,320.063038942195,293.280674033785
California,1992,32.2879859911376,25.2541287451418,,,315.065179980274,288.062266543697
California,1993,33.266215099072,25.7572721077341,,,318.398354602068,294.337784080888
California,1994,32.9121755624129,25.7990320157481,,,317.158597200488,296.35241426948
California,1995,31.9990062968685,25.5519158656275,,,314.24285228108,294.097665065613
California,1996,30.346223733081,26.2397321718744,,,303.334299523812,295.502009388076
California,1997,28.504193542613,25.3763596158934,,,297.488684591749,296.138518324463
California,1998,28.3604292276012,25.4744186505693,,,293.831005516974,295.423913768306
California,1999,27.5200568944862,26.2573403236686,46.7712605947294,36.7083349204357,289.472549855214,295.992107752769
California,2000,27.3384985578499,25.2512071452797,47.5264740587762,37.1963005756319,286.094730318407,292.244416333094
California,2001,27.7353547726881,25.5949498974143,49.2786168506477,39.2610579899487,285.007380336431,291.976747430311
California,2002,27.9767260938861,25.7227586164574,50.1206661202277,39.2006811914128,283.044977003366,286.80732475195
California,2003,27.8698428132355,25.708334393522,53.268985057481,41.5310298858607,285.886436446731,288.357137015721
California,2004,27.4044025148747,25.1190625574849,52.8129976868874,41.0096244014265,274.538760490076,275.649104011809
California,2005,28.0618957108422,25.2931071147456,56.7741218076628,43.9768479033251,278.143235853646,277.14401577562
California,2006,27.2173038534361,25.0213749113647,57.2579449181069,45.276112662759,277.47824739441,274.038606485147
California,2007,26.7804598972958,24.8080630259972,56.7002032065325,44.7830640680572,270.990778534286,266.546678730563
California,2008,25.6663575138651,24.3413779083063,56.5643355321529,45.8169751852083,268.416280835793,265.534108704113
California,2009,25.4131159978474,23.6463998532083,57.038146648208,46.1618849308285,265.175165035773,258.070422928848
California,2010,24.4537788147922,23.3263817673484,56.8932867156444,46.3011230270418,262.882148677043,258.09876406146
California,2011,25.2356479484849,23.9085734875843,58.5691042573849,48.5815418646474,266.330573558132,260.541874759683
California,2012,25.0505944662337,23.5036768495413,59.1748604630324,49.5908113514498,267.224756659073,259.271811156928
California,2013,25.8352616523252,23.4353787040074,62.5456450563207,51.6548718941178,271.898912339136,260.922056419005
California,2014,25.9379263257414,23.4638312899859,62.6796595004086,51.661275966041,267.282406960971,253.19014777612
California,2015,27.0247120449998,24.6012585545344,66.8052523033066,55.1393370354471,277.899591577563,263.487095687176
California,2016,27.6433001290165,24.9197344296692,69.2738553463557,57.0343702016741,279.655929830553,262.560395833714
Colorado,1980,11.0481939482827,9.28738803777516,,,341.94160269935,287.529247504058
Colorado,1981,11.5953413537796,7.97598624913161,,,336.734074921321,289.146257804653
Colorado,1982,10.6909167950066,7.62705649399858,,,333.01553931275,284.026368755144
Colorado,1983,11.6652940291543,7.80873507416067,,,321.847374607651,277.41726565508
Colorado,1984,10.2443740261934,9.17265489729936,,,319.025567751089,298.599862000402
Colorado,1985,10.7440453853391,10.3703394588925,,,316.996052108309,287.255288795269
Colorado,1986,12.8729409854375,8.52021993280757,,,319.045192049153,296.695049906571
Colorado,1987,11.3461780245997,10.1808948761273,,,324.010045967354,296.625891978252
Colorado,1988,11.7979420098974,10.0818777175487,,,324.918387353097,301.720875401168
Colorado,1989,12.6958549254424,10.0407121886311,,,322.737177491714,293.805277325081
Colorado,1990,12.562474795397,9.61909301966391,,,323.438209768447,303.502108462708
Colorado,1991,13.0172051440689,10.6853248574896,,,327.702973944337,308.457582212063
Colorado,1992,12.8974288360771,9.60872746989337,,,319.147019535744,293.437954073143
Colorado,1993,13.693949902275,11.0934826481056,,,317.008024101352,308.293692345359
Colorado,1994,13.528352770051,10.6025780638297,,,321.244694349148,297.865338669159
Colorado,1995,13.6116306550643,10.9467816592552,,,316.72514094308,303.479273875675
